copper loss(W),iron loss(W),eddy current loss(W),Overall tem rise（°C）,coil tem rise（°C）,Permanent magnet tem rise（°C）
900,20,20,104.3625858,12.64240417,9.849323351
900,20,56,108.3515458,22.75759953,18.80796345
900,20,92,112.3405057,32.87279488,27.76660354
900,20,128,116.3294656,42.98799023,36.72524364
900,20,164,120.3184255,53.10318558,45.68388374
900,20,200,124.3073854,63.21838093,54.64252384
900,76,20,110.5676346,28.3771525,23.78498573
900,76,56,114.5565945,38.49234785,32.74362582
900,76,92,118.5455544,48.6075432,41.70226592
900,76,128,122.5345144,58.72273855,50.66090601
900,76,164,126.5234743,68.8379339,59.61954611
900,76,200,130.5124342,78.95312925,68.57818621
900,132,20,116.7726834,44.11190082,37.7206481
900,132,56,120.7616433,54.22709617,46.67928819
900,132,92,124.7506032,64.34229152,55.63792829
900,132,128,128.7395631,74.45748688,64.59656839
900,132,164,132.728523,84.57268222,73.55520848
900,132,200,136.717483,94.68787758,82.51384858
900,188,20,122.9777321,59.84664915,51.65631047
900,188,56,126.966692,69.96184449,60.61495056
900,188,92,130.955652,80.07703984,69.57359066
900,188,128,134.9446119,90.19223519,78.53223076
900,188,164,138.9335718,100.3074305,87.49087085
900,188,200,142.9225317,110.4226259,96.44951095
900,244,20,129.1827809,75.58139747,65.59197284
900,244,56,133.1717408,85.69659282,74.55061294
900,244,92,137.1607007,95.81178817,83.50925303
900,244,128,141.1496606,105.9269835,92.46789313
900,244,164,145.1386206,116.0421789,101.4265332
900,244,200,149.1275805,126.1573742,110.3851733
900,300,20,135.3878296,91.31614579,79.52763521
900,300,56,139.3767896,101.4313411,88.48627531
900,300,92,143.3657495,111.5465365,97.44491541
900,300,128,147.3547094,121.6617318,106.4035555
900,300,164,151.3436693,131.7769272,115.3621956
900,300,200,155.3326292,141.8921225,124.3208357
1000,20,20,115.4659645,12.7983262,9.837687664
1000,20,56,119.4549244,22.91352155,18.79632776
1000,20,92,123.4438844,33.0287169,27.75496786
1000,20,128,127.4328443,43.14391225,36.71360795
1000,20,164,131.4218042,53.2591076,45.67224805
1000,20,200,135.4107641,63.37430296,54.63088815
1000,76,20,121.6710133,28.53307453,23.77335004
1000,76,56,125.6599732,38.64826988,32.73199013
1000,76,92,129.6489331,48.76346523,41.69063023
1000,76,128,133.637893,58.87866057,50.64927032
1000,76,164,137.626853,68.99385593,59.60791042
1000,76,200,141.6158129,79.10905128,68.56655052
1000,132,20,127.876062,44.26782285,37.70901241
1000,132,56,131.865022,54.3830182,46.6676525
1000,132,92,135.8539819,64.49821355,55.6262926
1000,132,128,139.8429418,74.61340889,64.58493269
1000,132,164,143.8319017,84.72860425,73.54357279
1000,132,200,147.8208616,94.8437996,82.50221289
1000,188,20,134.0811108,60.00257117,51.64467478
1000,188,56,138.0700707,70.11776652,60.60331488
1000,188,92,142.0590306,80.23296187,69.56195497
1000,188,128,146.0479906,90.34815722,78.52059507
1000,188,164,150.0369505,100.4633526,87.47923516
1000,188,200,154.0259104,110.5785479,96.43787526
1000,244,20,140.2861596,75.73731949,65.58033715
1000,244,56,144.2751195,85.85251484,74.53897725
1000,244,92,148.2640794,95.96771019,83.49761734
1000,244,128,152.2530393,106.0829055,92.45625744
1000,244,164,156.2419992,116.1981009,101.4148975
1000,244,200,160.2309592,126.3132962,110.3735376
1000,300,20,146.4912083,91.47206782,79.51599952
1000,300,56,150.4801682,101.5872632,88.47463962
1000,300,92,154.4691282,111.7024585,97.43327971
1000,300,128,158.4580881,121.8176539,106.3919198
1000,300,164,162.447048,131.9328492,115.3505599
1000,300,200,166.4360079,142.0480446,124.3092
1100,20,20,126.5693432,12.95424823,9.826051977
1100,20,56,130.5583031,23.06944358,18.78469207
1100,20,92,134.547263,33.18463893,27.74333217
1100,20,128,138.536223,43.29983428,36.70197227
1100,20,164,142.5251829,53.41502963,45.66061236
1100,20,200,146.5141428,63.53022498,54.61925246
1100,76,20,132.774392,28.68899655,23.76171435
1100,76,56,136.7633519,38.8041919,32.72035445
1100,76,92,140.7523118,48.91938725,41.67899454
1100,76,128,144.7412717,59.0345826,50.63763463
1100,76,164,148.7302316,69.14977795,59.59627473
1100,76,200,152.7191916,79.26497331,68.55491483
1100,132,20,138.9794407,44.42374487,37.69737672
1100,132,56,142.9684006,54.53894022,46.65601681
1100,132,92,146.9573606,64.65413558,55.61465692
1100,132,128,150.9463205,74.76933092,64.57329701
1100,132,164,154.9352804,84.88452627,73.5319371
1100,132,200,158.9242403,94.99972163,82.4905772
1100,188,20,145.1844895,60.15849319,51.63303909
1100,188,56,149.1734494,70.27368855,60.59167919
1100,188,92,153.1624093,80.3888839,69.55031929
1100,188,128,157.1513692,90.50407925,78.50895938
1100,188,164,161.1403292,100.6192746,87.46759948
1100,188,200,165.1292891,110.7344699,96.42623957
1100,244,20,151.3895383,75.89324152,65.56870146
1100,244,56,155.3784982,86.00843686,74.52734155
1100,244,92,159.3674581,96.12363222,83.48598166
1100,244,128,163.356418,106.2388276,92.44462175
1100,244,164,167.3453779,116.3540229,101.4032619
1100,244,200,171.3343378,126.4692183,110.3619019
1100,300,20,157.594587,91.62798984,79.50436383
1100,300,56,161.5835469,101.7431852,88.46300393
1100,300,92,165.5725068,111.8583805,97.42164403
1100,300,128,169.5614668,121.9735759,106.3802841
1100,300,164,173.5504267,132.0887712,115.3389242
1100,300,200,177.5393866,142.2039666,124.2975643
1200,20,20,137.6727219,13.11017025,9.814416286
1200,20,56,141.6616818,23.2253656,18.77305638
1200,20,92,145.6506417,33.34056095,27.73169648
1200,20,128,149.6396016,43.45575631,36.69033658
1200,20,164,153.6285616,53.57095166,45.64897668
1200,20,200,157.6175215,63.686147,54.60761677
1200,76,20,143.8777707,28.84491858,23.75007866
1200,76,56,147.8667306,38.96011393,32.70871876
1200,76,92,151.8556905,49.07530928,41.66735885
1200,76,128,155.8446504,59.19050463,50.62599895
1200,76,164,159.8336103,69.30569998,59.58463905
1200,76,200,163.8225702,79.42089532,68.54327914
1200,132,20,150.0828194,44.5796669,37.68574103
1200,132,56,154.0717793,54.69486226,46.64438113
1200,132,92,158.0607392,64.8100576,55.60302122
1200,132,128,162.0496992,74.92525295,64.56166132
1200,132,164,166.0386591,85.0404483,73.52030142
1200,132,200,170.027619,95.15564365,82.47894152
1200,188,20,156.2878682,60.31441522,51.6214034
1200,188,56,160.2768281,70.42961057,60.5800435
1200,188,92,164.265788,80.54480592,69.53868359
1200,188,128,168.2547479,90.66000127,78.49732369
1200,188,164,172.2437078,100.7751966,87.45596379
1200,188,200,176.2326678,110.890392,96.41460389
1200,244,20,162.4929169,76.04916354,65.55706577
1200,244,56,166.4818769,86.16435889,74.51570587
1200,244,92,170.4708368,96.27955425,83.47434597
1200,244,128,174.4597967,106.3947496,92.43298607
1200,244,164,178.4487566,116.5099449,101.3916262
1200,244,200,182.4377165,126.6251403,110.3502663
1200,300,20,168.6979657,91.78391187,79.49272815
1200,300,56,172.6869256,101.8991072,88.45136824
1200,300,92,176.6758855,112.0143026,97.41000834
1200,300,128,180.6648454,122.1294979,106.3686484
1200,300,164,184.6538054,132.2446933,115.3272885
1200,300,200,188.6427653,142.3598886,124.2859286
1300,20,20,148.7761006,13.26609228,9.802780596
1300,20,56,152.7650605,23.38128763,18.76142069
1300,20,92,156.7540204,33.49648298,27.72006079
1300,20,128,160.7429803,43.61167833,36.67870089
1300,20,164,164.7319402,53.72687368,45.63734098
1300,20,200,168.7209002,63.84206903,54.59598108
1300,76,20,154.9811493,29.0008406,23.73844297
1300,76,56,158.9701093,39.11603595,32.69708306
1300,76,92,162.9590692,49.2312313,41.65572316
1300,76,128,166.9480291,59.34642666,50.61436326
1300,76,164,170.936989,69.461622,59.57300336
1300,76,200,174.9259489,79.57681735,68.53164345
1300,132,20,161.1861981,44.73558893,37.67410534
1300,132,56,165.175158,54.85078427,46.63274543
1300,132,92,169.1641179,64.96597962,55.59138553
1300,132,128,173.1530779,75.08117498,64.55002563
1300,132,164,177.1420378,85.19637033,73.50866573
1300,132,200,181.1309977,95.31156567,82.46730582
1300,188,20,167.3912469,60.47033724,51.60976771
1300,188,56,171.3802068,70.5855326,60.56840781
1300,188,92,175.3691667,80.70072794,69.5270479
1300,188,128,179.3581266,90.8159233,78.485688
1300,188,164,183.3470865,100.9311187,87.4443281
1300,188,200,187.3360464,111.046314,96.4029682
1300,244,20,173.5962956,76.20508557,65.54543009
1300,244,56,177.5852555,86.32028092,74.50407019
1300,244,92,181.5742155,96.43547627,83.46271028
1300,244,128,185.5631754,106.5506716,92.42135038
